name,type,target_dir,required_for_first_test,test_profiles,expected_bytes,min_bytes,sha256,source_url
4x-UltraSharpV2.pth,detector_or_upscale,ComfyUI/models,yes,first_full,140335046,,,https://huggingface.co/GeraldoZulimar/4x-UltraSharpV2/resolve/main/4x-UltraSharpV2.pth
4x_NMKD-Superscale-SP_178000_G.pth,detector_or_upscale,ComfyUI/models,yes,first_full,66958607,,,https://huggingface.co/gemasai/4x_NMKD-Superscale-SP_178000_G/resolve/main/4x_NMKD-Superscale-SP_178000_G.pth
ae.safetensors,model,ComfyUI/models/vae,yes,face_detailer_smoke|first_full,335304388,,,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/vae/ae.safetensors
bbox/face_yolov8m.pt,detector_or_upscale,ComfyUI/models,yes,first_full,52026019,,,https://huggingface.co/obitobosna/face_yolov8m.pt/resolve/main/face_yolov8m.pt
bbox/nipple.pt,detector_or_upscale,ComfyUI/models,yes,first_full,22508344,,,https://huggingface.co/vermin94/nipples_yolov8s.pt/resolve/main/nipples_yolov8s.pt
bbox/pussyV2.pt,detector_or_upscale,ComfyUI/models,yes,first_full,6211374,,,https://huggingface.co/vermin94/nipples_yolov8s.pt/resolve/main/pussyV2.pt
controlnet-union-sdxl-promax.safetensors,model,ComfyUI/models/checkpoints,yes,first_full,2513342408,,,https://huggingface.co/xinsir/controlnet-union-sdxl-1.0/resolve/main/diffusion_pytorch_model_promax.safetensors
depth_anything_v2_vitl.pth,detector_or_upscale,ComfyUI/models,yes,first_full,1341395338,,,https://huggingface.co/AyushSahaUndergrad/Depth-Anything-V2-vitl-checkpoint/resolve/main/depth_anything_v2_vitl.pth
dmd2_sdxl_4step_lora_fp16.safetensors,lora,ComfyUI/models/loras,yes,first_full,393854592,,,https://huggingface.co/wornleto/dmd2_sdxl_4step_lora_fp16/resolve/main/dmd2_sdxl_4step_lora_fp16.safetensors
flux-2-klein-9b.safetensors,model,ComfyUI/models/checkpoints,yes,first_full,18157185168,,,https://huggingface.co/rkppvc/flux-2-klein-9b.safetensors/resolve/main/flux-2-klein-9b.safetensors
flux2-vae.safetensors,vae,ComfyUI/models/vae,yes,first_full|smoke,,300000000,,https://huggingface.co/Comfy-Org/flux2-dev/resolve/main/split_files/vae/flux2-vae.safetensors
lustifySDXLNSFW_ggwpV7.safetensors,model,ComfyUI/models/checkpoints,yes,first_full,6938099634,,,https://huggingface.co/aboba2005/lustifySDXLNSFW_ggwpV7/resolve/main/lustifySDXLNSFW_ggwpV7.safetensors
qwen_2.5_vl_7b_fp8_scaled.safetensors,model,ComfyUI/models/text_encoders,yes,first_full|qwen_edit_smoke,,7000000000,,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/text_encoders/qwen_2.5_vl_7b_fp8_scaled.safetensors
qwen_3_4b.safetensors,text_encoder,ComfyUI/models/text_encoders,yes,face_detailer_smoke|first_full|smoke,8044982048,,,https://huggingface.co/Comfy-Org/flux2-klein-4B/resolve/main/split_files/text_encoders/qwen_3_4b.safetensors
qwen_3_8b.safetensors,text_encoder,ComfyUI/models/text_encoders,yes,first_full,16381517176,,,https://huggingface.co/DenRakEiw/qwen3_8b.safetensors/resolve/main/qwen3_8b.safetensors
qwen_image_edit_2509_fp8_e4m3fn.safetensors,model,ComfyUI/models/diffusion_models,yes,first_full|qwen_edit_smoke,20430698424,,,https://huggingface.co/Comfy-Org/Qwen-Image-Edit_ComfyUI/resolve/main/split_files/diffusion_models/qwen_image_edit_2509_fp8_e4m3fn.safetensors
qwen_image_vae.safetensors,vae,ComfyUI/models/vae,yes,first_full|qwen_edit_smoke,253806246,,,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/vae/qwen_image_vae.safetensors
sam_vit_b_01ec64.pth,detector_or_upscale,ComfyUI/models/sams,yes,face_detailer_smoke|first_full,375042383,,,https://dl.fbaipublicfiles.com/segment_anything/sam_vit_b_01ec64.pth
segm/person_yolov8m-seg.pt,detector_or_upscale,ComfyUI/models/ultralytics,yes,first_full,,,,https://huggingface.co/Bingsu/adetailer/resolve/main/person_yolov8m-seg.pt
umt5_xxl_fp8_e4m3fn_scaled.safetensors,text_encoder,ComfyUI/models/text_encoders,yes,first_full,6735906897,,,https://huggingface.co/Osrivers/umt5_xxl_fp8_e4m3fn_scaled.safetensors/resolve/main/umt5_xxl_fp8_e4m3fn_scaled.safetensors
wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors,model,ComfyUI/models/checkpoints,yes,first_full,14293923632,,,https://huggingface.co/mihaiciorobitca/wan2.2_t2v_high_noise_14B_fp8_scaled/resolve/main/wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors
wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors,model,ComfyUI/models/checkpoints,yes,first_full,14293923632,,,https://huggingface.co/mihaiciorobitca/wan2.2_t2v_low_noise_14B_fp8_scaled/resolve/main/wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors
